ts,src_ip,src_port,dst_ip,dst_port,proto,duration,orig_bytes,resp_bytes,ts_datetime,ts_datetime_norm,ts_datetime_norm_rounded,Label,Event_IDs
1757931039.10662,192.168.3.10,53744,192.168.2.23,1515,tcp,0.003631,506,1993,2025-09-15 10:10:39.106620073,2025-09-15 12:10:39.106620073,2025-09-15 12:10:39,benign,
1757931070.677213,192.168.0.10,35084,192.168.2.10,135,tcp,0.000297,0,0,2025-09-15 10:11:10.677212954,2025-09-15 12:11:10.677212954,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.677244,192.168.0.10,53872,192.168.2.20,22,tcp,0.000288,0,0,2025-09-15 10:11:10.677243948,2025-09-15 12:11:10.677243948,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.677255,192.168.0.10,34644,192.168.2.10,443,tcp,0.000374,0,0,2025-09-15 10:11:10.677254915,2025-09-15 12:11:10.677254915,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.677311,192.168.0.10,38112,192.168.2.20,80,tcp,0.000391,0,0,2025-09-15 10:11:10.677310944,2025-09-15 12:11:10.677310944,2025-09-15 12:11:11,TCPScanEvent,"1086,1087,1090,1115,1117"
1757931070.677325,192.168.0.10,49344,192.168.2.10,445,tcp,0.000421,0,0,2025-09-15 10:11:10.677325010,2025-09-15 12:11:10.677325010,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.677349,192.168.0.10,60808,192.168.2.10,2222,tcp,0.000432,0,0,2025-09-15 10:11:10.677349091,2025-09-15 12:11:10.677349091,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.677582,192.168.0.10,47556,192.168.2.10,3306,tcp,0.000396,0,0,2025-09-15 10:11:10.677582026,2025-09-15 12:11:10.677582026,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.677584,192.168.0.10,38622,192.168.2.20,135,tcp,0.000414,0,0,2025-09-15 10:11:10.677583933,2025-09-15 12:11:10.677583933,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.677661,192.168.0.10,55032,192.168.2.20,443,tcp,0.000359,0,0,2025-09-15 10:11:10.677660942,2025-09-15 12:11:10.677660942,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.677666,192.168.0.10,37644,192.168.2.10,3389,tcp,0.000371,0,0,2025-09-15 10:11:10.677665949,2025-09-15 12:11:10.677665949,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.6777,192.168.0.10,50226,192.168.2.20,445,tcp,0.000393,0,0,2025-09-15 10:11:10.677700043,2025-09-15 12:11:10.677700043,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.677793,192.168.0.10,37782,192.168.2.10,5985,tcp,0.000324,0,0,2025-09-15 10:11:10.677793026,2025-09-15 12:11:10.677793026,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.67798,192.168.0.10,46728,192.168.2.20,2222,tcp,0.000268,0,0,2025-09-15 10:11:10.677979946,2025-09-15 12:11:10.677979946,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.678044,192.168.0.10,44724,192.168.2.10,5986,tcp,0.000225,0,0,2025-09-15 10:11:10.678044081,2025-09-15 12:11:10.678044081,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.678092,192.168.0.10,40856,192.168.2.20,3306,tcp,0.000217,0,0,2025-09-15 10:11:10.678092003,2025-09-15 12:11:10.678092003,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.678179,192.168.0.10,43500,192.168.2.20,3389,tcp,0.000274,0,0,2025-09-15 10:11:10.678179026,2025-09-15 12:11:10.678179026,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.678195,192.168.0.10,60568,192.168.2.10,7001,tcp,0.000278,0,0,2025-09-15 10:11:10.678195000,2025-09-15 12:11:10.678195000,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.678226,192.168.0.10,55168,192.168.2.10,8008,tcp,0.000287,0,0,2025-09-15 10:11:10.678225994,2025-09-15 12:11:10.678225994,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
1757931070.678227,192.168.0.10,51426,192.168.2.20,5985,tcp,0.000302,0,0,2025-09-15 10:11:10.678226948,2025-09-15 12:11:10.678226948,2025-09-15 12:11:11,TCPScanEvent,"1115,1117"
1757931070.678376,192.168.0.10,40086,192.168.2.10,8080,tcp,0.000328,0,0,2025-09-15 10:11:10.678375959,2025-09-15 12:11:10.678375959,2025-09-15 12:11:11,TCPScanEvent,"1089,1114,1118"
